State,Total_Usage
Maharashtra,62163.1
Gujarat,47131.5
UP,45270.4
Tamil Nadu,44551.3
Rajasthan,31738.2
MP,29791.8
Karnataka,29588.8
Telangana,26615.7
Andhra Pradesh,25507.4
Punjab,21360.5
Haryana,20586.8
West Bengal,19901.5
Delhi,12482.2
Chhattisgarh,12010.3
Bihar,11821.3
Odisha,11507.1
Kerala,10514.6
J&K,6349.5
Uttarakhand,5288.4
HP,3873.0
Assam,3575.5
Jharkhand,3387.3
DNH,2419.2
Goa,1573.4
Pondy,1105.6
Meghalaya,820.7
Chandigarh,610.8
Tripura,572.5
Manipur,360.2
Nagaland,310.9
Arunachal Pradesh,306.9
Mizoram,244.0
Sikkim,182.2
